Time,Joint_angle,chamber_1_pressure_bar,chamber_2_pressure_bar
18:05:03,25.426,0.374,0.017
18:05:03,25.887,0.335,0.017
18:05:04,26.168,0.305,0.017
18:05:04,26.328,0.374,0.017
18:05:04,26.401,0.355,0.017
18:05:04,26.828,0.275,0.017
18:05:04,26.548,0.315,0.017
18:05:04,26.398,0.345,0.017
18:05:04,26.441,0.335,0.017
18:05:04,26.466,0.345,0.017
18:05:04,26.865,0.364,0.017
18:05:04,27.09,0.295,0.017
18:05:05,26.702,0.325,0.017
18:05:05,26.997,0.305,0.017
18:05:05,26.651,0.335,0.017
18:05:05,26.961,0.305,0.017
18:05:05,27.139,0.315,0.017
18:05:05,27.242,0.355,0.017
18:05:05,26.933,0.285,0.017
18:05:05,26.239,0.295,0.017
18:05:05,25.855,0.374,0.017
18:05:05,26.013,0.315,0.017
18:05:06,25.734,0.335,0.017
18:05:06,25.575,0.374,0.017
18:05:06,25.852,0.305,0.017
18:05:06,26.525,0.325,0.017
18:05:06,26.385,0.285,0.017
18:05:06,26.809,0.335,0.017
18:05:06,26.676,0.325,0.017
18:05:06,26.982,0.315,0.017
18:05:06,26.775,0.295,0.017
18:05:07,26.169,0.305,0.017
18:05:07,25.815,0.335,0.017
18:05:07,25.991,0.364,0.017
18:05:07,25.716,0.315,0.017
18:05:07,26.433,0.335,0.017
18:05:07,26.333,0.335,0.017
18:05:07,26.272,0.295,0.017
18:05:07,26.745,0.325,0.017
18:05:07,27.021,0.335,0.017
18:05:07,26.664,0.364,0.017
18:05:08,26.106,0.355,0.017
18:05:08,25.787,0.305,0.017
18:05:08,25.605,0.364,0.017
18:05:08,25.499,0.335,0.017
18:05:08,25.815,0.355,0.017
18:05:08,26.484,0.364,0.017
18:05:08,26.491,0.384,0.017
18:05:08,26.509,0.335,0.017
18:05:08,26.505,0.345,0.017
18:05:08,26.513,0.374,0.017
18:05:09,26.378,0.295,0.017
18:05:09,26.313,0.325,0.017
18:05:09,26.409,0.374,0.017
18:05:09,26.314,0.295,0.017
18:05:09,26.394,0.335,0.017
18:05:09,25.942,0.305,0.017
18:05:09,26.062,0.335,0.017
18:05:09,25.762,0.364,0.017
18:05:09,25.591,0.394,0.017
18:05:09,26.357,0.355,0.017
18:05:10,26.803,0.315,0.017
18:05:10,26.167,0.295,0.017
18:05:10,25.822,0.325,0.017
18:05:10,25.625,0.374,0.017
18:05:10,26.376,0.355,0.017
18:05:10,26.801,0.295,0.017
18:05:10,26.56,0.315,0.017
18:05:10,26.534,0.364,0.017
18:05:10,26.522,0.384,0.017
18:05:11,26.386,0.305,0.017
18:05:11,26.307,0.295,0.017
18:05:11,26.272,0.305,0.017
