Time,J0_Ang,J0_fP1,J0_fP2,J1_Ang,J1_fP1,J1_fP2,J2_Ang,J2_fP1,J2_fP2,EE_P1
18:06:25,36.498,0.275,0.047,38.176,0.503,0.067,33.041,0.484,0.017,0
18:06:25,36.498,0.285,0.047,38.243,0.484,0.067,33.155,0.444,0.017,0
18:06:25,36.498,0.295,0.047,38.622,0.503,0.057,32.912,0.503,0.017,0
18:06:25,36.498,0.275,0.047,38.836,0.493,0.067,33.194,0.464,0.017,0
18:06:25,36.498,0.275,0.047,38.951,0.424,0.067,33.243,0.484,0.017,0
18:06:25,36.498,0.275,0.047,39.018,0.434,0.067,33.274,0.503,0.017,0
18:06:25,36.498,0.285,0.047,39.056,0.424,0.067,33.281,0.434,0.017,0
18:06:25,36.498,0.275,0.047,39.078,0.474,0.067,33.704,0.454,0.017,0
18:06:25,36.498,0.275,0.047,39.09,0.404,0.067,33.523,0.464,0.017,0
18:06:25,36.498,0.275,0.047,39.097,0.434,0.067,33.84,0.484,0.017,0
18:06:26,36.498,0.285,0.047,39.101,0.424,0.067,34.013,0.434,0.017,0
18:06:26,36.498,0.275,0.047,39.103,0.464,0.067,33.393,0.454,0.017,0
18:06:26,36.498,0.275,0.047,39.104,0.404,0.067,33.469,0.454,0.017,0
18:06:26,36.498,0.275,0.047,39.105,0.434,0.067,33.809,0.454,0.017,0
18:06:26,36.498,0.275,0.047,39.106,0.414,0.067,33.596,0.444,0.017,0
18:06:26,36.498,0.275,0.047,39.106,0.464,0.067,33.156,0.513,0.017,0
18:06:26,36.498,0.275,0.047,39.106,0.404,0.067,32.912,0.444,0.017,0
18:06:26,36.498,0.275,0.047,39.106,0.414,0.067,32.779,0.474,0.017,0
18:06:26,36.498,0.275,0.047,39.106,0.414,0.067,33.003,0.484,0.017,0
18:06:27,36.498,0.275,0.047,39.106,0.454,0.067,33.547,0.513,0.017,0
18:06:27,36.498,0.275,0.047,39.106,0.394,0.067,33.548,0.444,0.017,0
18:06:27,36.498,0.295,0.047,39.106,0.444,0.067,33.854,0.464,0.017,0
18:06:27,36.498,0.275,0.047,39.106,0.414,0.067,33.623,0.464,0.017,0
18:06:27,36.498,0.275,0.047,39.106,0.454,0.067,33.174,0.503,0.017,0
18:06:27,36.498,0.275,0.047,39.106,0.464,0.067,32.928,0.513,0.017,0
18:06:27,36.498,0.295,0.047,39.106,0.404,0.067,32.784,0.444,0.017,0
18:06:27,36.498,0.275,0.047,39.106,0.424,0.067,32.704,0.474,0.017,0
18:06:27,36.498,0.295,0.047,39.106,0.424,0.067,32.66,0.484,0.017,0
18:06:27,36.498,0.285,0.047,39.106,0.454,0.067,32.634,0.513,0.017,0
18:06:28,36.498,0.275,0.047,39.106,0.444,0.067,32.62,0.503,0.017,0
18:06:28,36.498,0.285,0.047,39.106,0.404,0.067,33.03,0.454,0.017,0
18:06:28,36.498,0.275,0.047,39.106,0.424,0.067,33.548,0.484,0.017,0
18:06:28,36.498,0.285,0.047,39.106,0.454,0.067,33.847,0.493,0.017,0
18:06:28,36.498,0.275,0.047,39.106,0.464,0.067,33.618,0.484,0.017,0
18:06:28,36.498,0.275,0.047,39.106,0.454,0.067,33.486,0.503,0.017,0
18:06:28,36.498,0.275,0.047,39.106,0.414,0.067,33.095,0.444,0.017,0
18:06:28,36.498,0.275,0.047,39.106,0.434,0.067,33.186,0.474,0.017,0
18:06:28,36.498,0.275,0.047,39.106,0.444,0.067,32.935,0.493,0.017,0
18:06:28,36.498,0.285,0.047,39.106,0.404,0.067,32.788,0.434,0.017,0
18:06:29,36.498,0.275,0.047,39.106,0.444,0.067,32.706,0.503,0.017,0
18:06:29,36.498,0.275,0.047,39.106,0.424,0.067,32.661,0.484,0.017,0
